NomForet;Libelle;NumCarre;idArbre;X;Y;Xutm;Yutm;Circonference;MesuMort;idCodeMesure;Annee;Famille;Genre;Espece;idTaxon;idVern;NomVern;Surface;Arbre
Nouragues;NouPP;222;217235;243,1999969;139,8999939;;;243,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217237;249,8999939;143;;;113;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217238;240,1000061;146,6000061;;;39,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217239;241;147,5;;;177;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217240;248;148;;;71,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217241;247,5;149;;;42;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217242;247,3999939;155,8000031;;;38,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217243;240,8999939;156,8000031;;;108;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217244;243,8000031;158,8999939;;;43;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217245;246,5;160,5;;;118,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217246;241;163;;;65;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217248;247,5;165,5;;;55,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;1087;sali;;
Nouragues;NouPP;222;217249;240,1000061;166,5;;;52,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;310;maho cochon;;
Nouragues;NouPP;222;217252;240,5;168;;;92,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;1087;sali;;
Nouragues;NouPP;222;217253;247,5;167,5;;;146,5;FALSE;6;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217254;245;169;;;94,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217255;246,5;179;;;84;FALSE;0;2008;Indet.;Indet.Indet.;Indet.;33679;707;weti koko;;
Nouragues;NouPP;222;217256;248;179,8999939;;;174,5;FALSE;6;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217257;249,3000031;182,6999969;;;60;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217259;247,8999939;185,1999969;;;83;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217260;243,8999939;188,3000031;;;68,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217261;243,3999939;189,3000031;;;50,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217262;240,1000061;192;;;76,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217263;249;195;;;97,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;1087;sali;;
Nouragues;NouPP;222;217264;243;197,5;;;55,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217265;246;198;;;99,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217267;250,1000061;102,8000031;;;40;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217268;257,5;103,6999969;;;119,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217270;259,3999939;109,3000031;;;210,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;103;ang_lique;;
Nouragues;NouPP;222;217271;250,8999939;111,3000031;;;63;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217272;253,3999939;111,8000031;;;46,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;403;maho noir;;
Nouragues;NouPP;222;217273;250,8999939;116,4000015;;;58,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217274;257,7999878;117,4000015;;;46;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217275;259;117,6999969;;;46,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217280;257,8999939;126,4000015;;;57;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;707;weti koko;;
Nouragues;NouPP;222;217282;250,1999969;130,3000031;;;74;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217283;251;130,6999969;;;38,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217284;255,3999939;131,6000061;;;75;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217285;255,8999939;135,8000031;;;39;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217286;253,1000061;137,5;;;135,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;1087;sali;;
Nouragues;NouPP;222;217287;255,8999939;137,5;;;49,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217288;253,5;141;;;66,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217289;250,1000061;145,8000031;;;106;FALSE;6;2008;Indet.;Indet.Indet.;Indet.;33679;1087;sali;;
Nouragues;NouPP;222;217290;251,1000061;147,1000061;;;101,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217291;254,1000061;147,5;;;40;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217292;253;153,8000031;;;61;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;642;tingi moni;;
Nouragues;NouPP;222;217293;252,3999939;153,8999939;;;47,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217294;256,8999939;157,1999969;;;42;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217295;254;158,8000031;;;135;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217297;259,5;164;;;67;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217298;258,5;164,5;;;74;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217299;254;164;;;59,5;FALSE;7;2008;Indet.;Indet.Indet.;Indet.;33679;645;aso udu;;
Nouragues;NouPP;222;217300;252,5;166,5;;;42;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217301;250,1000061;169;;;280;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217302;250,3000031;169,6999969;;;42,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217303;257,5;169,8999939;;;119;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217305;256,5;171;;;38,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217306;251;171,5;;;50;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217307;257;174;;;35;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217308;259,8999939;175;;;183,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;211;gonfolo;;
Nouragues;NouPP;222;217309;253,6000061;176;;;114,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217310;255;179,6000061;;;35;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217311;255;180,5;;;81,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217312;251,5;181,3999939;;;79,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;1087;sali;;
Nouragues;NouPP;222;217313;257,5;185;;;33,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217314;256,3999939;186,3999939;;;172;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217315;251,6000061;188,8999939;;;81;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217316;256,5;187,6000061;;;47;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217319;252,3999939;195;;;142,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217320;253,1000061;195,8000031;;;42;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217321;259,6000061;195,6999969;;;40;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217323;257,1000061;197,5;;;43,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;1087;sali;;
Nouragues;NouPP;222;217324;267,5;102,6999969;;;95;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217325;264,1000061;103,6999969;;;39;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217326;268,3999939;103,6999969;;;49,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;1087;sali;;
Nouragues;NouPP;222;217327;265,8999939;108,1999969;;;53,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217328;266;110,5999985;;;47,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217329;266,6000061;111,4000015;;;130,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217330;261,6000061;111,3000031;;;101,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217331;265,1000061;111,4000015;;;36;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217332;262,6000061;115,8000031;;;92,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
